Image Name,Blurry
D:\iNaturalist\test_3000\Leucanthemum_vulgare_88373.jpg,No
D:\iNaturalist\test_3000\Leucanthemum_vulgare_88388.jpeg,No
D:\iNaturalist\test_3000\Leucanthemum_vulgare_88396.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_84593.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_84613.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_84652.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_84694.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_84743.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_84785.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_84803.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_84820.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_84915.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_85198.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_85222.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_85360.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_85437.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_85714.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_85747.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_85763.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_85964.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_86020.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_86065.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86090.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86140.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86231.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86340.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_86351.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86365.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_86378.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86414.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_86484.jpg,No
