flower_name,file_path
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_10250.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_1038.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_10608.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_109.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_11276.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_11314.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_11327.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_11391.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_11503.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_11514.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_11722.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_11757.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_11831.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_12111.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_12171.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_1221.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_12262.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_12471.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_1259.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_12684.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_1269.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_12844.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13071.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13180.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13240.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13312.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13550.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13551.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13615.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13625.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13682.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13718.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13740.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13756.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_1377.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13770.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_13857.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14109.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14207.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14289.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14373.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14613.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14637.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14742.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14782.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14815.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14834.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14847.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14861.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_14983.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_1499.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_15139.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_15213.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_15389.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_15394.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_15589.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_15709.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_15843.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_16019.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_16027.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_16254.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_16593.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_16700.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_16803.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_16893.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17142.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17240.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17261.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17314.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17387.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17423.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17433.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17521.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17698.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17740.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17751.jpg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_17835.jpeg
Bellis perennis,D:\iNaturalist\test_3000\Bellis_perennis_18030.jpg
